id;doc_type;langs;year;projects;no_of_projects
;['Book', 'Preprint'];eng;2014;[];0
;['Article', 'Article'];eng;2017;[];0
;['Article'];und;2016;[];0
;['Article', 'Article'];eng;2014;[];0
;['Report'];eng;2016;[];0
;['Bachelor thesis'];spa;2018;[];0
;['Article', 'Article'];eng;2016;[];0
;['Doctoral thesis', 'Doctoral thesis'];eng;2016;[];0
;['Article', 'Article'];eng;2018;[];0
;['Article'];eng;2015;[];0
;['Doctoral thesis', 'Doctoral thesis'];lit;2015;[];0
;['Article', 'Article'];eng;2014;[];0
;['Article', 'Preprint'];eng;2018;[];0
;['Article', 'Article'];eng;2015;[];0
;['Article', 'Article'];eng;2015;[];0
;['Article', 'Article'];eng;2015;['260729'];1
;['Conference object'];eng;2017;[];0
;['Article', 'Article', 'Article'];und;2016;[];0
;['Article', 'Preprint', 'Article'];eng;2017;['MR/P006639/1'];1
;['Article', 'Article'];eng;2014;[];0
;['Doctoral thesis'];eng;2015;[];0
;['Doctoral thesis', 'Doctoral thesis'];eng;2017;[];0
;['Article', 'Article', 'Article'];eng;2018;[];0
;['Article', 'Article'];eng;2016;[];0
;['Article', 'Article'];eng;2015;[];0
;['Article', 'Article'];spa;2016;[];0
;['Article', 'Article'];eng;2015;[];0
;['Article', 'Article'];eng;2015;[];0
;['Conference object', 'Conference object', 'Conference object', 'Conference object'];eng;2018;[];0
;['Article'];und;2016;[];0
;['Article', 'Article'];eng;2017;[];0
;['Article', 'Article', 'Article'];eng;2016;[];0
;['Article', 'Article', 'Article', 'Article'];eng;2018;[];0
;['Article', 'Article'];eng;2017;[];0
;['Article', 'Article', 'Article'];eng;2015;['084273', '078317', '2300154809', '242107'];4
;['Article', 'Article'];eng;2017;['2P30CA008748-43'];1
;['Article', 'Article'];eng;2015;[];0
;['Article', 'Article', 'Article', 'Article'];eng;2015;['091593', '098362'];2
;['Doctoral thesis', 'Doctoral thesis'];fra/fre;2015;[];0
;['Article', 'Article'];eng;2017;[];0
;['Article'];eng;2016;[];0
;['Article', 'Article'];eng;2017;['LP110100569'];1
;['Report', 'Article'];eng;2018;[];0
;['Article', 'Other literature type'];eng;2018;[];0
;['Preprint', 'Preprint'];eng;2014;[];0
;['Article'];eng;2018;[];0
;['Article', 'Preprint', 'Article'];eng;2016;[];0
;['Article', 'Article', 'Article'];eng;2014;[];0
;['Article', 'Article', 'Article', 'Article', 'Article', 'Article'];eng;2016;['3P40OD018537-04S1', '087675'];2
;['Master thesis'];tur;2018;[];0
;['Other literature type', 'Article'];eng;2016;[];0
;['Master thesis', 'Master thesis'];nob;2015;[];0
;['Article', 'Article'];eng;2016;[];0
;['Article', 'Article'];eng;2017;[];0
;['Article', 'Article'];por;2017;[];0
;['Article', 'Article', 'Article', 'Article'];eng;2014;[];0
;['Article', 'Article'];eng;2017;[];0
;['Other literature type', 'Article'];eng;2016;[];0
;['Article', 'Article'];eng;2017;['2R01NS065069-05A1'];1
;['Article', 'Article', 'Article', 'Article'];eng;2015;[];0
;['Article', 'Article'];fra/fre;2017;[];0
;['Article', 'Article', 'Article'];eng;2015;['637406', '637315'];2
;['Article', 'Article'];eng;2018;[];0
;['Article', 'Article'];dut/nld;2017;[];0
;['Article', 'Article', 'Article', 'Article'];eng;2014;[];0
;['Article', 'Other literature type'];eng;2018;[];0
;['Article', 'Article'];eng;2016;[];0
;['Article', 'Article'];eng;2016;[];0
;['Article', 'Other literature type'];eng;2015;[];0
;['Bachelor thesis', 'Bachelor thesis'];cat;2017;[];0
;['Doctoral thesis'];eng;2014;[];0
;['Article', 'Article'];eng;2018;['133008'];1
;['Other literature type', 'Article'];eng;2015;[];0
;['Conference object', 'Conference object', 'Conference object'];fra/fre;2014;[];0
;['Article', 'Article', 'Article'];eng;2017;[];0
;['Article', 'Article'];spa;2017;[];0
;['Article', 'Article'];spa;2014;[];0
;['Article', 'Article'];eng;2017;[];0
;['Article', 'Article'];eng;2016;[];0
;['Article', 'Article'];eng;2017;[];0
;['Article', 'Article', 'Article'];eng;2016;[];0
;['Article', 'Article'];spa;2016;[];0
;['Conference object', 'Part of book or chapter of book', 'Conference object'];eng;2017;[];0
;['Article', 'Article'];eng;2016;['1231288', '0416164', '0819186'];3
;['Article', 'Article', 'Article'];por;2017;[];0
;['Article', 'Preprint'];eng;2014;['227431'];1
